hoko,Tidak
mulu,Gila
nggati,Ganti
malole,Bagus
mua,Makan
buna,Bunga
masoda,Hidup
soda,Menyanyi
ho,Kamu
ona,Seperti
sangga,Cari
seka,Siapa
minu,Minum
doi,Uang
do,Jauh
mbui,Burung
dombe,Pisau
randu,Berteriak
au,Saya
esa,Satu
rua,Dua
telu,Tiga
ha,Empat
lima,Lima
ne,Enam
hitu,Tujuh
falu,Delapan
sio,Sembilan
sanhulu,Sepuluh
eedik,Tipu
mafu,Mabuk
mete,Lihat
hi,Suka
fafi,Babi
busa,Anjing
meo,Kucing
hita,kita
manu,Ayam
nggeo,Hitam
muti,Putih
nitu,Setan
sabe,Dimana
bale,Bicara
dedea,Bahasa
nara,Nama
atahori,Orang
ana,Dia
oi,Bilang
eni,Dia
nendi,Bawa
dadi,Jadi
hendi,Terlepas
muhine,Tahu
hei,Iya
mala,Dapat
Sunggu,tidur
Nduar,mengantuk
Tuda,jatuh
Koao,sombong
Nggae,menangis
Mera,sakit
Udan,hujan
Anin,angin
Sue,sayang
Tao,buat
Sa,apa
Lambu,lampu
En'do,duduk
Afi,jangan
Nau,mau
Karosi,kursi
Kadera,kursi
odi,Adik
a'a,Kakak
Solo',topi
Badu,baju
Beruk,celana
Rae,tanah
Oe,air
Fatu,batu
Tasi,laut
Banggu,bangku
Ndu',bintang
Fulan,bulan
buna,bunga
lamatuak,Tuhan
man,yang
fe,beri
mbila,besok
rulu,timur
muri,barat
di,utara
ona,selatan
nambruna,gemukan
relo,matahari
nisi,gigi
tiku,patah
nudu,bibir
fulaka,bulan ke
no,dengan
ruma,sebagian
poke,buta




